ATMGNN_AGW_MMR_False,0,3.73430,2.88929,3.73430,105.59149,10.27577,0.48220
ATMGNN_AGW_MMR_False,1,4.39183,3.00312,4.39183,128.68928,11.34413,0.37058
ATMGNN_AGW_MMR_False,2,4.79841,3.34858,4.79841,150.66808,12.27469,0.28412
ATMGNN_AGW_MMR_False,3,4.86904,3.16524,4.86904,148.01751,12.16624,0.26460
ATMGNN_AGW_MMR_False,4,5.35733,3.62575,5.35733,197.05643,14.03768,0.13522
ATMGNN_AGW_MMR_False,5,5.28210,3.37194,5.28210,167.40840,12.93864,0.24253
ATMGNN_AGW_MMR_False,6,5.18796,3.27630,5.18796,160.74659,12.67859,0.19081
ATMGNN_Diff_AGW_MMR_False,0,3.84080,2.89339,3.84080,100.32823,10.01640,0.39686
ATMGNN_Diff_AGW_MMR_False,1,3.92649,2.88285,3.92649,104.31236,10.21334,0.33685
ATMGNN_Diff_AGW_MMR_False,2,4.72787,3.02542,4.72787,124.36692,11.15199,0.22402
ATMGNN_Diff_AGW_MMR_False,3,5.20115,3.45967,5.20115,160.78462,12.68009,0.20523
ATMGNN_Diff_AGW_MMR_False,4,4.97458,3.11773,4.97458,138.59725,11.77273,0.34278
ATMGNN_Diff_AGW_MMR_False,5,5.02663,3.19046,5.02663,145.84680,12.07671,0.18245
ATMGNN_Diff_AGW_MMR_False,6,4.81258,2.89895,4.81258,129.14778,11.36432,0.35519
